Location,Part Numbers,Physical Count 7/22/212
CAGE-R6-S1-L4,DECOMMISIONED PARTS,0
CAGE-R6-S2-L1,MZEL215THBLA-00AMV,200
CAGE-R6-S2-L2,M393A4K40BB1-CRC,66
CAGE-R6-S2-L3,M393A2K43BB1CTD,24
CAGE-R6-S2-L4,MZEM515THALC-00AMV,149
CAGE-R6-S3-L1,,0
CAGE-R6-S3-L2,,0
CAGE-R6-S3-L3,,0
CAGE-R6-S3-L4,,0
CAGE-R6-S4-L1,,0
CAGE-R6-S4-L2,,0
CAGE-R6-S4-L3,,0
CAGE-R6-S4-L4,,0
CAGE-R7-S1-L1,SSDPELKX019T8DM2,0
CAGE-R7-S1-L2,SSDPELKX020T8D-201,3
CAGE-R7-S1-L3,SSDPELKX038T8D,112
CAGE-R7-S1-L4,SSDPELKX960G8D,147
CAGE-R7-S2-L1,NT32GA72D4NBX3P-IX,247
CAGE-R7-S2-L2,NT16GA72D4PBX3P-IX,248
CAGE-R7-S2-L3,NT16GA72D4PBX3P-HR,248
CAGE-R7-S2-L4,NT32GA72D4NBX3P-HR,164
CAGE-R7-S3-L1,M386AAG40AM3-CWE,0
CAGE-R7-S3-L2,M393A8G40BB4-CWE,399
CAGE-R7-S3-L3,M393A4G40BB3-CWE,0
CAGE-R7-S3-L4,M393A4G40AB3-CVF,0
CAGE-R7-S3-L4,M393A4G43BB4-CWE,348
CAGE-R7-S4-L1,MTA36ASF8G72PZ-2G9E1,400
CAGE-R7-S4-L2,MTA36ASF8G72PZ-3G2B2,311
CAGE-R7-S4-L3,MTA36ASF8G72PZ-2G9B2,400
CAGE-R8-S1-L1,MTA18ASF4G72PZ-3G2E1,484
CAGE-R8-S1-L2,MTA36ASF8G72PZ-3G2E1,191
CAGE-R8-S1-L3,HMA82GR7DJR4N-XN,192
CAGE-R8-S1-L4,HMAA4GR7CJR4N-XN,771
CAGE-R8-S2-L1,HMAA8GR7AJR4N-XN,428
CAGE-R8-S2-L2,HMA84GR7CJR4N-WM,6
CAGE-R8-S2-L3,HMA84GR7DJR4N-XN,432
CAGE-R8-S2-L4,HMAA8GR7CJR4N-XN,795
CAGE-R8-S3-L1,HFS15T3DGLX070N,32
CAGE-R8-S3-L2,HFS15TDFMX098N,90
CAGE-R8-S3-L3,HMA84GR7CJR4N-XN,103
CAGE-R8-S3-L4,HMAA4GR7AJR4N-XN,30
CAGE-R8-S4-L1,,0
CAGE-R8-S4-L2,,0
CAGE-R8-S4-L3,,0
CAGE-R8-S4-L4,,0
CAGE-R9-S1-L1,M393A2K40EB3-CWE,379
CAGE-R9-S1-L2,M393A4K40EB3-CWE,293
CAGE-R9-S1-L3,MTA18ASF2G72PZ-3G2R1,340
CAGE-R9-S1-L4,MTA36ASF4G72PZ-3G2R1,659
CAGE-R9-S2-L1,MZELB15THMLA-000MV,40
CAGE-R9-S2-L2,WUS4AB0A1DAELE7,3
CAGE-R9-S2-L3,SSDPEXNV153T8D,40
CAGE-R9-S3-L4,SSDPEXNV153T8D,36
CAGE-R9-S3-L1,MZCL23T8HCLS-00AMV,292
CAGE-R9-S3-L2,MZCL21T9HCJR-00AMV,188
CAGE-R9-S3-L3,SSDPEXNV153T8D,14
CAGE-R9-S3-L4,SSDPEXNV153T8D,16
CAGE-R9-S4-L1,,0
CAGE-R9-S4-L2,,0
CAGE-R9-S4-L3,,0
CAGE-R9-S4-L4,,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
